Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,56005.2997980268,62578.6055903334,70562.0507257941,85085.7515127062,99693.9137706926,120039.53552324,135758.648810129,146829.222638667,167336.405004301,208659.203633279,218308.778433079,249247.635839136,271726.592050848,316306.305766364,309153.576805172,306329.937908275,371791.360865216,393308.29706264,423905.674081946,454143.211553923,506837.674244918,494801.408569977,473126.583591582,504990.742690771,550873.956807325,581790.783220689,643580.374062029,644637.861711322,682674.370596836,693465.885184589,654823.524,744136.976,803685.389,893581.894,918414.818,866178.403,886431.244,867865.223,906625.413,920112.639,1046627.806,1040811.944,1062296.897,1143443.94,1253266.923,1318939.226,1382459,1360284.651,1491783.271,1581643.106,1643369.717,1660509.275,1841219.035,1823115.056,1932296.314,1953773.933,1904104.418,..,..,..,..
Caribbean small states,CSS,CO2 emissions (kt),EN.ATM.CO2E.KT,5878.201,8804.467,11771.07,5984.544,10652.635,11917.75,11756.402,14026.275,14026.275,14869.685,20960.572,25060.278,25580.992,30670.788,29482.68,31583.871,34766.827,38606.176,37091.705,37524.411,38837.197,32566.627,31620.541,28639.27,28899.627,31972.573,27894.869,29240.658,27146.801,29904.385,31459.193,32170.591,33919.75,33208.352,32907.658,33725.399,37869.109,36171.288,37165.045,41059.399,42757.22,45797.163,46926.599,50908.961,52496.772,56842.167,62397.672,63805.8,64051.489,61715.61,65419.28,63937.812,62746.037,65254.265,63710.458,63266.751,61722.944,..,..,..,..
Central Europe and the Baltics,CEB,CO2 emissions (kt),EN.ATM.CO2E.KT,466533.409572869,491649.846074341,526298.905896685,569115.739168458,611356.776400714,630347.382815115,650420.272526013,676656.312437655,722506.737806506,776524.936624785,808071.095567516,832585.07880542,869398.705220759,905753.82738241,935124.756842526,997763.901919111,1056884.29342088,1100015.68193646,1156662.28304623,1168855.29732746,1200252.1758155,1127030.11279041,1155830.57765582,1166616.09050712,1165133.94884985,1186219.81307471,1207582.91242971,1241032.39716973,1198460.81035923,1164222.27178728,998302.377844954,910237.572467898,869420.031,862779.094,809369.239,829141.703,841591.168,819779.852,772314.204,730338.055,716124.763,735391.181,723554.105,747022.905,737140.34,741005.358,767063.06,766714.695,751049.271,682626.718,713832.888,717019.511,678629.688,660844.738,634262.655,643961.87,656858.709,..,..,..,..
Early-demographic dividend,EAR,CO2 emissions (kt),EN.ATM.CO2E.KT,591478.990602743,616931.669919216,652102.000610395,686265.339928301,730747.117146243,782877.544969221,822755.819158512,894407.215259132,982916.403116199,1038897.06732799,1118152.58394427,1190624.65151752,1223480.55324896,1345289.82050947,1397838.99975066,1429183.51568528,1553494.02367388,1664515.96767102,1747442.31088573,1846146.89684438,1935601.90229852,2008985.7616261,2098421.49712085,2154458.53901062,2230289.68318001,2348460.78210875,2467633.91892547,2567679.69405727,2693574.19270726,2820347.40150519,2844346.20892249,3077327.42576626,3170623.879,3329834.018,3448285.452,3500888.567,3675690.79,3786786.222,3886081.248,4081774.37,4237636.538,4290070.971,4370374.604,4598601.35,4833667.051,5002330.716,5275272.86,5484214.853,5871105.355,6106486.418,6173610.853,6417011.645,6767855.537,6644240.967,7002352.853,7309544.777,7422679.061,..,..,..,..
East Asia & Pacific,EAS,CO2 emissions (kt),EN.ATM.CO2E.KT,1215379.54273003,1052154.2638414,965466.774939282,1010723.60319924,1066262.9060975,1161231.03286611,1254442.05303646,1266272.25925643,1406173.15997493,1636368.79747002,2026255.7116702,2214288.12736923,2332124.31788211,2487149.54115717,2512486.3580134,2653341.01179149,2786338.20767092,2989718.71106742,3160161.71937893,3283019.78657868,3277733.79365992,3245948.13880844,3365944.94682941,3472702.928727,3714611.38745011,3891437.20469891,4033146.56794963,4231281.42951836,4580927.30116565,4730127.29421519,4778302.82856771,4981028.04347833,5203770.83728638,5486513.29929586,5786202.70181498,6138581.68300955,6415539.4425983,6516337.0569413,6181932.10355999,6306433.42560285,6542447.08346678,6667667.36662216,7120524.83146183,7877680.09757722,8690370.18267063,9362921.04986078,10008085.9884849,10281497.767678,11205668.3163368,11156119.8133807,12549251.4631969,13629697.1391833,13991440.0924722,14166073.9892175,14131065.7783637,14125802.075244,13955922.0176925,..,..,..,..
East Asia & Pacific (excluding high income),EAP,CO2 emissions (kt),EN.ATM.CO2E.KT,852413.928748898,632508.666815256,526960.35326326,526831.994511213,535743.759296231,587208.284081484,642263.186531153,564492.452361976,619312.641665044,738998.009467132,974639.006476098,1121719.79935806,1164727.31607983,1224278.44224408,1245307.27322239,1417018.27692583,1481953.13589025,1626650.12337704,1789841.77333743,1833780.80785977,1814402.3036935,1804034.58392097,1941081.38978573,2049456.51783597,2208390.32462129,2386599.94857125,2510638.51176421,2685576.82123341,2894082.77805952,2958702.24123319,2946702.5316132,3118777.06221278,3270593.292541,3501818.43349152,3700207.34542359,4019214.57415773,4210181.04611511,4258899.97648255,4012760.27852757,4040953.8153484,4188676.50658371,4332445.94174555,4725754.58170848,5469902.12507237,6233173.53348382,6929102.53389267,7566735.83292834,7772136.77809504,8707515.63775817,8748576.02451514,10004234.7018944,11048097.0322578,11385465.4810615,11544822.4665854,11555273.6680016,11582531.1347127,11421388.2772275,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,CO2 emissions (kt),EN.ATM.CO2E.KT,828641.718357575,606122.996481155,496304.603960294,494038.071451298,500159.176236921,543022.732925491,594695.175921892,512151.290402871,560090.408561066,675031.338894154,901260.555612537,1014378.83128493,1075344.24593164,1127075.36593925,1143845.98920558,1309535.19960852,1371938.20102986,1513034.40910961,1681565.78724301,1723398.82892221,1700195.73830204,1689468.84719029,1823967.55882216,1924015.53024763,2073392.53153431,2241923.90966772,2353388.22708664,2509399.3979532,2692434.99979497,2744367.82202861,2823031.6901814,3000273.15074588,3166223.17399109,3405528.88458312,3612057.81350772,3936510.54731928,4137091.39615163,4193227.77719493,3953841.38980756,3976614.24885374,4119206.8174772,4260413.21207175,4656704.965,5399298.134,6160948.702,6853645.002,7489924.507,7708019.332,8636423.058,8694247.981,9953470.112,11011098.918,11347069.458,11517005.572,11523917.867,11557100.55,11393101.309,..,..,..,..
Euro area,EMU,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2652599.52518656,2585293.672,2533577.971,2521044.165,2568183.45,2633687.071,2601094.775,2648410.076,2619499.448,2637185.389,2702479.991,2701643.915,2741848.903,2766494.81,2751595.789,2752534.541,2705219.24,2641688.465,2442731.713,2496482.599,2400388.864,2351221.728,2309388.592,2191967.585,2237357.44955281,2228500.89061568,..,..,..,..
Europe & Central Asia,ECS,CO2 emissions (kt),EN.ATM.CO2E.KT,4583645.9223339,4740275.55815682,5004792.40043841,5358971.11136977,5637409.05472087,5899808.27621453,6157823.65116475,6365185.96145335,6648511.94677358,6993248.93494373,7417351.5904389,7731985.45803479,8092946.92427185,8478051.39041941,8558011.47761472,8697010.19549905,9149597.23888597,9304210.0930061,9610474.31653542,9840355.58673174,9902631.68278575,9558892.47082646,9564051.18612938,9580896.62066794,9609890.51130566,10140033.4258054,10172360.313573,10236642.5766892,10326803.3334444,10351944.1095658,9750683.10344141,9575918.29847798,7662172.42243362,7294022.06501814,6835341.53298609,6787753.20992648,6834514.58714005,6580901.79181781,6564314.66729153,6518851.18714574,6569031.59606359,6652964.74529849,6640019.14911668,6832819.90439726,6875921.21187968,6879559.03194682,7015318.80322482,6985332.2910344,6965499.49830496,6399238.80692409,6697917.01146453,6686151.95713463,6661329.71146263,6508718.05195837,6280567.76905297,6224889.12131441,6269012.20782758,..,..,..,..
Europe & Central Asia (excluding high income),ECA,CO2 emissions (kt),EN.ATM.CO2E.KT,2372230.09236621,2451484.27323216,2584020.29307268,2771765.05674931,2960987.11415313,3141578.97341947,3322030.69415044,3481193.03571413,3586921.7215566,3744174.67557568,3927925.49099383,4172455.55702966,4395853.89975054,4586500.69893077,4758917.81029965,5002595.36691189,5200208.21912189,5387532.56719237,5566921.57069666,5606528.22425989,5811142.16413351,5720671.06133111,5850649.55290085,5936858.10858529,5991488.78096294,6458728.175254,6495111.64250337,6490738.15237822,6642076.09238292,6524856.04663887,6108527.81443211,5877024.79308146,3644045.69204298,3339351.37675526,2915986.72305787,2816608.06626521,2751592.13010848,2579906.31129955,2552150.79430334,2573005.95527991,2609943.15514975,2604309.36774591,2620098.25425926,2736197.87179887,2772988.49547874,2792648.49675257,2896398.72519394,2941111.74656438,2994923.241,2735409.651,2934784.441,3078948.879,3119439.893,3028791.653,2989433.742,2920996.521,2979371.494,..,..,..,..
