Year,Month,monthly_anomaly,monthly_uncertainty,annual_anomaly,annual_uncertainty,five_year_anomaly,five_year_uncertainty,ten_year_anomaly,ten_year_uncertainty,twenty_year_anomaly,twenty_year_uncertainty
1743,4,-2.769,1.939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,5,-0.821,1.461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,7,0.094,1.304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,9,-0.075,1.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,11,-2.976,3.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,4,-0.119,6.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,5,0.024,4.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,6,1.002,1.538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,7,-0.258,1.521,-1.266,0.905,NaN,NaN,NaN,NaN,NaN,NaN
1744,8,NaN,NaN,-1.178,0.859,NaN,NaN,NaN,NaN,NaN,NaN
1744,9,-1.897,1.657,-1.186,0.822,NaN,NaN,NaN,NaN,NaN,NaN
1744,10,-2.551,2.127,-1.261,0.823,NaN,NaN,NaN,NaN,NaN,NaN
1744,11,-2.703,1.979,-1.330,0.791,NaN,NaN,NaN,NaN,NaN,NaN
1744,12,-1.799,4.256,-1.407,0.767,NaN,NaN,NaN,NaN,NaN,NaN
1745,1,-0.432,2.934,-1.403,0.758,NaN,NaN,NaN,NaN,NaN,NaN
1745,2,-1.594,3.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,3,-2.430,1.915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,4,-1.017,3.030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,5,-0.798,1.437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,6,0.076,1.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,7,-0.206,1.260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,9,0.437,1.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,12,0.975,1.886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,1,-0.361,1.873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,2,0.376,1.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,3,-4.511,1.844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,4,-0.635,1.466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,6,-1.769,1.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
