Pays,Annees,PerCapita,Mesures,Date de mise en place,temperature
Afghanistan,1960,0.04605671262990341,4,0,-0.153
Afghanistan,1961,0.05358883505045581,4,0,0.340
Afghanistan,1962,0.07372083083238187,4,0,0.202
Afghanistan,1963,0.07416072482986585,4,0,-0.166
Afghanistan,1964,0.08617361436855277,4,0,-0.752
Afghanistan,1965,0.1012849124977903,4,0,0.731
Afghanistan,1966,0.1073988809254518,4,0,-0.774
Afghanistan,1967,0.1234095319524389,4,0,-0.154
Afghanistan,1968,0.1151424975108261,4,0,-0.447
Afghanistan,1969,0.0865098566374047,4,0,0.556
Afghanistan,1970,0.149651474425259,4,0,0.748
Afghanistan,1971,0.1652083208973595,4,0,-0.712
Afghanistan,1972,0.1299955941775296,4,0,-0.259
Afghanistan,1973,0.1353665875434585,4,0,-0.147
Afghanistan,1974,0.1545032405673107,4,0,-0.557
Afghanistan,1975,0.1676123557430121,4,0,-0.381
Afghanistan,1976,0.153557886047794,4,0,0.258
Afghanistan,1977,0.1815221664427203,4,0,0.541
Afghanistan,1978,0.1618942316874392,4,0,0.219
Afghanistan,1979,0.1670664114742344,4,0,0.458
Afghanistan,1980,0.131782918458271,4,0,1.058
Afghanistan,1981,0.1506146561640271,4,0,0.008
Afghanistan,1982,0.1631039342588659,4,0,-0.340
Afghanistan,1983,0.2012243045591188,4,0,0.563
Afghanistan,1984,0.2319613460576001,4,0,0.437
Afghanistan,1985,0.2939569322296948,4,0,0.057
Afghanistan,1986,0.2677719042969607,4,0,0.440
Afghanistan,1987,0.2692295959493075,4,0,0.781
Afghanistan,1988,0.2468232712931351,4,0,0.050
Afghanistan,1989,0.2338821945833628,4,0,0.640
Afghanistan,1990,0.2106434194188543,4,0,0.118
Afghanistan,1991,0.1833635523587946,4,0,-0.116
Afghanistan,1992,0.09619658106087269,4,0,0.261
Afghanistan,1993,0.0850871075160703,4,0,0.210
Afghanistan,1994,0.07580649421251581,4,0,0.379
Afghanistan,1995,0.06863986215408971,4,0,0.304
Afghanistan,1996,0.0624346107290676,4,0,0.237
Afghanistan,1997,0.05664234452986461,4,0,0.564
Afghanistan,1998,0.0527632181252538,4,0,1.266
Afghanistan,1999,0.04072253991949965,4,0,1.399
Afghanistan,2000,0.03723478104113132,4,0,1.330
Afghanistan,2001,0.03784613570387506,4,0,1.491
Afghanistan,2002,0.04737732386993894,4,0,0.827
Afghanistan,2003,0.05125558937422529,4,0,1.514
Afghanistan,2004,0.03707533124943078,4,0,0.501
Afghanistan,2005,0.05174396456388149,4,0,1.684
Afghanistan,2006,0.0624275315344817,4,0,1.271
Afghanistan,2007,0.08389280566258911,4,0,0.508
Afghanistan,2008,0.1517209120924992,4,0,0.984
Afghanistan,2009,0.2383985413110486,4,0,1.638
Afghanistan,2010,0.2899876298191428,4,0,1.119
Afghanistan,2011,0.4064242171132029,4,0,0.243
Afghanistan,2012,0.3451487829035534,4,0,1.104
Afghanistan,2013,0.2804546410553912,4,0,0.757
Afghanistan,2014,0.2537279454603327,4,0,1.234
Afghanistan,2015,0.2625557108914169,4,0,1.645
Afghanistan,2016,0.2451014223502229,4,0,1.471
Algeria,1960,0.5571203043481368,2,0,0.308
Algeria,1961,0.5350244024989019,2,0,0.195
Algeria,1962,0.4878886331191821,2,0,0.096
Algeria,1963,0.4555737218184502,2,0,0.487
Algeria,1964,0.462362728513072,2,0,-0.366
Algeria,1965,0.5256149665939892,2,0,0.440
Algeria,1966,0.6533888796444322,2,0,-0.107
Algeria,1967,0.6358883214240032,2,0,-0.198
Algeria,1968,0.6631611195979854,2,0,0.575
Algeria,1969,0.8018950310637629,2,0,0.029
Algeria,1970,1.042174395618108,2,0,-0.161
Algeria,1971,1.255270520600447,2,0,-0.654
Algeria,1972,1.854611771955889,2,0,-0.172
Algeria,1973,2.43878057203056,2,0,-0.243
Algeria,1974,1.975758103043373,2,0,-0.809
Algeria,1975,1.928697622134109,2,0,-0.740
Algeria,1976,2.292599217326714,2,0,0.154
Algeria,1977,2.382530667289089,2,0,0.375
Algeria,1978,3.454246225306821,2,0,0.258
Algeria,1979,2.446460724755152,2,0,0.193
Algeria,1980,3.460646099076225,2,0,0.166
Algeria,1981,2.342523350508046,2,0,0.325
Algeria,1982,1.920016191345365,2,0,0.209
Algeria,1983,2.493859763646595,2,0,0.463
Algeria,1984,3.267070322775556,2,0,0.225
Algeria,1985,3.244824310026141,2,0,0.390
Algeria,1986,3.301704728459036,2,0,0.494
Algeria,1987,3.53831812558477,2,0,1.208
Algeria,1988,3.434399506420263,2,0,0.185
Algeria,1989,3.188334948472867,2,0,1.133
Algeria,1990,2.98810984286616,2,0,0.275
Algeria,1991,2.994245634709885,2,0,-0.154
